cik,company_name,form_type,filing_date,filename,accession_number
0000100166,TULTEX CORP,10-Q/A,1994-08-12,edgar/data/100166/0000100166-94-000025.txt,0000100166-94-000025
0000100166,TULTEX CORP,10-Q,1994-08-12,edgar/data/100166/0000100166-94-000023.txt,0000100166-94-000023
0000100240,TURNER BROADCASTING SYSTEM INC,10-Q/A,1994-08-12,edgar/data/100240/0000950144-94-001488.txt,0000950144-94-001488
0000100240,TURNER BROADCASTING SYSTEM INC,10-Q,1994-08-12,edgar/data/100240/0000950144-94-001474.txt,0000950144-94-001474
0000100240,TURNER BROADCASTING SYSTEM INC,S-8,1994-09-19,edgar/data/100240/0000950144-94-001665.txt,0000950144-94-001665
0000100240,TURNER BROADCASTING SYSTEM INC,SC 13D/A,1994-08-10,edgar/data/100240/0000950134-94-000887.txt,0000950134-94-000887
0000100240,TURNER BROADCASTING SYSTEM INC,SC 13D,1994-08-10,edgar/data/100240/0000950134-94-000894.txt,0000950134-94-000894
0000100441,TYCO INTERNATIONAL LTD,SC 13D/A,1994-09-27,edgar/data/100441/0000950172-94-000169.txt,0000950172-94-000169
0000100493,TYSON FOODS INC,10-Q/A,1994-08-16,edgar/data/100493/0000100493-94-000019.txt,0000100493-94-000019
0000100493,TYSON FOODS INC,10-Q,1994-08-15,edgar/data/100493/0000100493-94-000018.txt,0000100493-94-000018
0000100493,TYSON FOODS INC,SC 13D/A,1994-08-12,edgar/data/100493/0000100493-94-000017.txt,0000100493-94-000017
0000100493,TYSON FOODS INC,SC 14D1/A,1994-07-22,edgar/data/100493/0000912057-94-002365.txt,0000912057-94-002365
0000100493,TYSON FOODS INC,SC 14D1/A,1994-08-01,edgar/data/100493/0000912057-94-002419.txt,0000912057-94-002419
0000100493,TYSON FOODS INC,SC 14D1/A,1994-08-05,edgar/data/100493/0000912057-94-002501.txt,0000912057-94-002501
0000100517,UAL CORP /DE/,424B3,1994-07-05,edgar/data/100517/0000950109-94-001149.txt,0000950109-94-001149
0000100517,UAL CORP /DE/,DEFA14A,1994-07-06,edgar/data/100517/0000950109-94-001153.txt,0000950109-94-001153
0000100517,UAL CORP /DE/,POS AM,1994-07-01,edgar/data/100517/0000950109-94-001141.txt,0000950109-94-001141
0000100517,UAL CORP /DE/,SC 13E3/A,1994-07-21,edgar/data/100517/0000950172-94-000128.txt,0000950172-94-000128
0000100517,UAL CORP /DE/,SC 13G/A,1994-07-08,edgar/data/100517/0000888002-94-000113.txt,0000888002-94-000113
0000100517,UAL CORP /DE/,SC 13G/A,1994-08-08,edgar/data/100517/0000093748-94-000072.txt,0000093748-94-000072
0000100726,UNIFI INC,10-K,1994-09-21,edgar/data/100726/0000906601-94-000011.txt,0000906601-94-000011
0000100726,UNIFI INC,DEF 14A,1994-09-15,edgar/data/100726/0000906601-94-000006.txt,0000906601-94-000006
0000100783,UNION CAMP CORP,10-Q,1994-08-05,edgar/data/100783/0000950117-94-000177.txt,0000950117-94-000177
0000100783,UNION CAMP CORP,8-K,1994-08-17,edgar/data/100783/0000950117-94-000182.txt,0000950117-94-000182
0000100790,UNION CARBIDE CORP /NEW/,10-Q,1994-08-11,edgar/data/100790/0000100790-94-000031.txt,0000100790-94-000031
0000100790,UNION CARBIDE CORP /NEW/,8-K,1994-08-03,edgar/data/100790/0000100790-94-000028.txt,0000100790-94-000028
0000100802,SELIGMAN CASH MANAGEMENT FUND INC,NSAR-A,1994-08-19,edgar/data/100802/0000100802-94-000008.txt,0000100802-94-000008
0000100826,UNION ELECTRIC CO,10-Q,1994-08-12,edgar/data/100826/0000950131-94-001288.txt,0000950131-94-001288
0000100852,SELIGMAN INCOME FUND INC,NSAR-A,1994-08-25,edgar/data/100852/0000100852-94-000009.txt,0000100852-94-000009
0000100858,UNION LIGHT HEAT & POWER CO,10-Q,1994-08-12,edgar/data/100858/0000100858-94-000004.txt,0000100858-94-000004
0000100880,UNION OIL CO OF CALIFORNIA,10-Q,1994-08-12,edgar/data/100880/0000716039-94-000048.txt,0000716039-94-000048
0000100880,UNION OIL CO OF CALIFORNIA,8-K,1994-09-01,edgar/data/100880/0000716039-94-000053.txt,0000716039-94-000053
0000100880,UNION OIL CO OF CALIFORNIA,8-K,1994-09-30,edgar/data/100880/0000716039-94-000063.txt,0000716039-94-000063
0000100880,UNION OIL CO OF CALIFORNIA,S-3,1994-08-02,edgar/data/100880/0000912057-94-002443.txt,0000912057-94-002443
0000100885,UNION PACIFIC CORP,10-Q,1994-08-15,edgar/data/100885/0000100885-94-000017.txt,0000100885-94-000017
0000100885,UNION PACIFIC CORP,S-8,1994-07-29,edgar/data/100885/0000100885-94-000016.txt,0000100885-94-000016
0000100893,UNION PLANTERS CORP,10-Q,1994-08-12,edgar/data/100893/0000950144-94-001473.txt,0000950144-94-001473
0000100893,UNION PLANTERS CORP,11-K,1994-08-26,edgar/data/100893/0000950144-94-001586.txt,0000950144-94-001586
0000100893,UNION PLANTERS CORP,424B1,1994-08-02,edgar/data/100893/0000950144-94-001401.txt,0000950144-94-001401
0000100893,UNION PLANTERS CORP,8-K/A,1994-07-27,edgar/data/100893/0000950144-94-001372.txt,0000950144-94-001372
0000100893,UNION PLANTERS CORP,8-K,1994-07-12,edgar/data/100893/0000950144-94-001320.txt,0000950144-94-001320
0000100893,UNION PLANTERS CORP,8-K,1994-07-22,edgar/data/100893/0000950144-94-001357.txt,0000950144-94-001357
0000100893,UNION PLANTERS CORP,8-K,1994-07-27,edgar/data/100893/0000950144-94-001374.txt,0000950144-94-001374
0000100893,UNION PLANTERS CORP,8-K,1994-08-22,edgar/data/100893/0000950144-94-001548.txt,0000950144-94-001548
0000100893,UNION PLANTERS CORP,8-K,1994-08-22,edgar/data/100893/0000950144-94-001549.txt,0000950144-94-001549
0000100893,UNION PLANTERS CORP,8-K,1994-09-09,edgar/data/100893/0000950144-94-001626.txt,0000950144-94-001626
0000100893,UNION PLANTERS CORP,8-K,1994-09-20,edgar/data/100893/0000950144-94-001673.txt,0000950144-94-001673
0000100893,UNION PLANTERS CORP,8-K,1994-09-29,edgar/data/100893/0000950144-94-001728.txt,0000950144-94-001728
0000100893,UNION PLANTERS CORP,POS AM,1994-07-28,edgar/data/100893/0000950144-94-001376.txt,0000950144-94-001376
0000100893,UNION PLANTERS CORP,S-4,1994-08-26,edgar/data/100893/0000950144-94-001593.txt,0000950144-94-001593
0000100893,UNION PLANTERS CORP,S-4,1994-09-29,edgar/data/100893/0000950144-94-001736.txt,0000950144-94-001736
0000100893,UNION PLANTERS CORP,S-8,1994-08-26,edgar/data/100893/0000950144-94-001588.txt,0000950144-94-001588
0000100923,UNION TANK CAR CO,10-Q,1994-08-04,edgar/data/100923/0000950131-94-001251.txt,0000950131-94-001251
0000101001,UNITED AIR LINES INC,10-Q,1994-08-12,edgar/data/101001/0000101001-94-000023.txt,0000101001-94-000023
